category,material_cost,labour_hours,labour_rate,complexity,quality,demand,uniqueness,selling_price
wood,63.76,9.0,50,2,2,1,5,687.02
jewelry,67.48,3.7,50,2,5,5,1,571.0
basket,280.74,14.0,50,3,1,2,4,1404.28
pottery,168.42,23.1,50,1,1,4,1,1727.9
textile,382.05,24.4,50,4,5,1,4,2721.99
textile,506.17,18.9,50,3,5,2,1,2408.38
pottery,475.19,29.6,50,2,1,4,3,2682.12
textile,139.46,11.3,50,3,1,5,2,1259.87
pottery,139.87,12.0,50,5,2,3,1,986.13
wood,492.78,12.6,50,1,2,5,3,1582.88
jewelry,267.6,27.5,50,4,2,3,2,3457.63
basket,346.44,22.7,50,4,5,4,3,2184.45
pottery,330.24,3.6,50,1,1,2,2,643.05
jewelry,378.02,12.2,50,5,4,5,3,2428.88
wood,424.16,4.3,50,5,3,3,1,936.73
pottery,299.55,28.7,50,3,5,2,5,2636.66
textile,512.92,15.7,50,2,2,3,2,2300.66
basket,555.17,18.4,50,4,1,1,3,2304.41
textile,181.7,8.0,50,5,1,1,4,1094.75
basket,471.21,4.7,50,4,5,2,3,1099.16
basket,282.73,7.1,50,5,2,3,4,1075.55
textile,290.96,16.0,50,1,2,2,1,1815.45
basket,354.66,18.1,50,1,1,1,2,1651.67
wood,522.8,3.1,50,2,3,4,2,1002.96
basket,366.92,8.0,50,4,4,2,1,1066.84
jewelry,244.86,12.9,50,1,1,1,4,1941.07
wood,186.76,6.5,50,4,2,4,2,745.26
pottery,530.97,3.2,50,5,1,1,5,1029.91
wood,559.5,25.6,50,2,4,4,4,2656.73
jewelry,546.34,5.8,50,1,4,3,4,1767.07
basket,414.03,15.1,50,2,3,2,1,1709.94
basket,83.53,10.1,50,1,5,4,5,979.38
basket,136.59,28.9,50,1,2,1,5,2157.19
pottery,272.08,28.3,50,5,2,5,5,2266.72
wood,280.57,17.9,50,5,3,3,2,1836.92
textile,181.28,12.5,50,3,4,3,1,1323.54
basket,599.15,29.9,50,1,5,2,5,3028.03
textile,534.48,26.5,50,3,3,2,4,3525.79
textile,386.42,29.6,50,5,1,5,3,3634.4
wood,566.41,4.9,50,1,1,5,2,1119.79
basket,165.85,10.9,50,3,5,4,3,1183.35
wood,100.76,13.3,50,3,1,1,3,1135.86
textile,138.87,13.8,50,4,5,1,1,1381.25
pottery,350.07,25.2,50,5,5,2,4,2185.56
textile,250.56,28.1,50,1,3,2,2,2987.73
textile,479.06,26.6,50,4,5,2,2,3467.44
pottery,534.78,1.7,50,3,4,2,3,820.38
wood,260.4,2.1,50,4,2,2,4,539.8
pottery,172.61,20.1,50,4,3,3,1,1761.07
textile,243.13,15.8,50,5,3,1,1,1950.61
textile,148.21,28.9,50,3,1,1,5,2808.07
textile,290.02,29.5,50,1,4,5,2,3042.75
jewelry,50.93,27.8,50,5,2,3,4,2989.18
textile,392.74,20.2,50,1,3,5,3,2582.09
textile,271.32,9.6,50,2,2,4,4,1385.6
pottery,388.53,9.7,50,5,1,3,3,1175.77
basket,383.66,10.3,50,4,4,2,5,1391.99
pottery,412.37,9.2,50,5,3,1,2,1249.95
pottery,493.61,5.3,50,1,2,4,5,1110.92
wood,300.48,26.7,50,5,2,4,4,2467.95
pottery,410.83,1.2,50,1,4,2,2,633.56
basket,305.5,17.2,50,1,4,2,4,1769.45
basket,377.5,28.6,50,4,5,5,4,2954.68
basket,295.25,5.6,50,4,4,3,2,930.88
textile,471.2,16.1,50,2,3,4,1,2339.45
pottery,199.44,10.3,50,5,1,2,2,938.07
pottery,438.53,2.9,50,4,3,5,4,870.06
pottery,508.09,12.3,50,5,1,5,4,1621.33
textile,214.24,12.3,50,4,5,5,5,1704.64
jewelry,170.68,13.6,50,1,4,3,4,1928.27
jewelry,555.75,29.4,50,5,1,4,5,4558.13
wood,96.17,13.4,50,4,2,1,3,1102.51
pottery,300.08,10.8,50,4,3,4,3,1276.01
jewelry,60.66,16.6,50,3,2,1,1,1961.11
pottery,159.65,1.6,50,2,2,2,4,308.66
basket,571.27,14.5,50,3,3,2,5,1993.03
wood,477.79,5.7,50,3,1,5,1,1190.64
basket,422.54,28.8,50,4,2,1,5,2884.17
pottery,106.05,23.4,50,5,1,5,1,1752.55
jewelry,413.84,3.0,50,3,1,4,4,1162.16
textile,399.57,25.0,50,2,4,2,5,3201.11
textile,388.75,27.7,50,4,4,4,5,3151.47
pottery,506.9,3.5,50,4,2,4,5,1022.4
jewelry,235.02,15.3,50,3,2,4,2,2134.29
textile,237.19,26.5,50,3,5,1,5,3045.68
wood,182.75,12.8,50,5,2,4,4,1278.44
wood,101.18,7.4,50,2,3,5,3,713.7
basket,239.07,29.9,50,5,3,3,4,2558.75
textile,176.8,21.9,50,3,1,5,2,2162.0
jewelry,202.07,18.1,50,5,5,3,1,2607.3
textile,175.12,6.2,50,1,5,2,3,786.54
wood,354.35,21.2,50,2,4,1,1,2080.9
jewelry,313.29,10.9,50,1,3,4,1,1927.72
jewelry,320.46,17.7,50,1,2,2,5,2799.71
wood,596.65,4.4,50,4,5,5,5,1276.38
basket,259.21,27.3,50,3,5,4,3,2508.56
wood,385.3,22.5,50,2,2,3,1,2079.71
pottery,353.6,5.5,50,4,4,5,4,927.98
pottery,208.46,9.2,50,4,1,2,3,952.79
basket,413.65,28.1,50,4,1,5,2,2797.53
textile,504.65,3.1,50,2,3,5,5,1310.08
jewelry,118.39,21.0,50,4,3,5,5,2647.83
wood,378.92,26.8,50,3,5,3,1,2409.79
basket,372.92,1.6,50,3,5,1,2,661.24
jewelry,553.84,6.3,50,5,4,4,1,1942.08
jewelry,233.32,20.4,50,2,3,4,4,2673.53
jewelry,497.46,17.0,50,4,1,3,3,2870.87
jewelry,525.7,24.9,50,1,5,4,4,3636.25
basket,248.98,22.9,50,4,1,2,3,2082.24
textile,290.96,21.2,50,1,1,5,2,2456.5
textile,352.96,17.0,50,1,2,1,4,2245.21
pottery,324.11,21.8,50,5,3,4,4,2207.26
pottery,301.23,5.2,50,2,5,5,2,857.94
textile,474.97,25.8,50,3,5,3,1,3066.56
textile,510.61,17.8,50,4,2,4,5,2564.66
textile,353.55,16.8,50,4,3,2,2,2162.96
pottery,520.81,12.9,50,3,4,4,4,1808.2
pottery,322.43,2.1,50,5,5,3,1,676.62
jewelry,104.84,27.4,50,1,2,4,2,2972.66
textile,236.21,21.1,50,1,3,5,4,2498.42
jewelry,529.81,2.0,50,1,2,3,2,1367.52
jewelry,588.09,23.1,50,1,4,2,3,4039.74
wood,228.41,2.6,50,3,3,4,2,515.61
jewelry,361.26,24.0,50,2,2,1,5,3601.5
basket,425.72,15.4,50,5,2,2,4,1858.71
jewelry,190.43,1.3,50,4,3,5,2,556.24
textile,593.21,9.7,50,4,3,4,3,1880.69
jewelry,519.33,4.1,50,4,5,3,5,1618.87
textile,62.07,25.1,50,4,3,1,5,2530.37
wood,550.84,22.6,50,3,2,5,3,2422.23
pottery,391.49,20.7,50,2,1,1,3,2005.61
wood,368.77,22.2,50,1,3,3,4,2079.34
pottery,482.58,26.4,50,3,5,5,3,2720.22
textile,552.73,28.4,50,3,3,1,4,3797.79
pottery,464.78,7.5,50,4,5,3,1,1251.3
wood,195.45,4.6,50,3,3,5,4,718.42
textile,109.59,7.8,50,1,5,5,3,980.34
pottery,406.21,19.4,50,4,3,4,1,1820.36
wood,217.4,15.3,50,1,2,5,2,1408.06
textile,418.77,22.6,50,5,4,5,2,3034.01
wood,508.53,18.9,50,3,1,3,2,2115.95
pottery,520.5,3.9,50,3,5,3,1,985.37
pottery,582.51,28.5,50,4,1,2,5,3027.73
wood,482.74,8.1,50,2,5,2,1,1365.03
basket,163.94,7.3,50,2,3,2,5,725.69
pottery,593.14,16.7,50,2,1,1,2,1756.57
pottery,373.87,1.5,50,3,1,2,4,600.92
wood,311.94,23.6,50,5,5,1,4,2294.32
basket,73.85,23.7,50,5,3,4,1,1778.83
jewelry,516.01,13.4,50,1,4,4,1,2733.35
textile,384.56,2.9,50,3,5,5,5,1078.62
jewelry,597.05,16.4,50,4,5,5,4,3006.49
wood,519.04,19.9,50,5,2,4,4,2470.5
jewelry,236.41,14.2,50,4,1,3,4,2024.5
textile,255.87,5.4,50,4,1,1,1,819.52
wood,459.52,11.8,50,2,5,1,5,1700.03
basket,231.31,4.5,50,3,4,1,3,680.22
textile,106.98,15.7,50,2,4,2,1,1518.26
basket,252.16,23.1,50,5,2,4,5,2346.32
basket,387.47,19.6,50,1,5,3,1,1908.37
textile,556.85,11.2,50,2,2,5,4,1881.2
wood,100.47,16.4,50,4,4,4,3,1352.28
textile,446.88,23.5,50,5,5,1,1,2767.95
basket,77.37,3.4,50,4,4,4,5,446.87
textile,168.56,15.9,50,3,4,1,3,1768.44
basket,317.65,20.3,50,1,2,4,5,1847.29
pottery,215.78,7.1,50,2,3,3,3,731.72
jewelry,460.86,6.1,50,4,5,2,5,1766.33
textile,89.64,26.0,50,1,4,1,4,2627.21
textile,366.67,17.6,50,4,3,1,4,2076.59
textile,144.53,28.5,50,4,3,1,4,2986.15
pottery,289.62,12.6,50,1,4,3,3,1206.23
pottery,92.01,19.4,50,5,5,2,3,1505.08
pottery,179.95,5.2,50,2,2,5,2,620.74
wood,147.43,23.4,50,4,4,5,5,2054.21
basket,403.65,29.6,50,3,3,2,4,2630.31
jewelry,397.26,24.1,50,5,1,3,5,3322.09
jewelry,298.55,2.6,50,3,1,1,5,926.55
jewelry,304.49,17.1,50,1,4,5,2,2468.32
jewelry,325.75,28.8,50,4,1,3,1,3847.45
pottery,71.53,21.5,50,4,5,5,5,1621.49
textile,554.87,12.2,50,3,5,1,3,1951.14
wood,356.88,12.2,50,3,5,2,3,1367.2
pottery,554.21,10.0,50,4,2,5,1,1435.78
jewelry,403.92,10.5,50,2,5,1,4,2041.39
wood,249.43,6.2,50,2,3,4,2,783.3
pottery,135.22,9.6,50,1,5,5,5,843.91
textile,532.02,18.9,50,5,4,2,2,2546.6
basket,494.97,5.8,50,4,1,4,3,1215.82
pottery,583.27,18.7,50,4,2,5,2,2080.17
jewelry,547.19,6.6,50,5,4,4,3,2088.81
basket,340.1,29.0,50,2,5,2,3,2488.11
jewelry,530.76,17.1,50,1,5,1,3,2808.35
pottery,200.04,27.3,50,2,4,1,2,2249.55
textile,561.76,13.0,50,4,5,3,2,2175.8
wood,256.2,1.8,50,1,3,2,2,416.11
jewelry,432.84,5.0,50,4,4,5,1,1637.07
wood,190.76,25.2,50,5,5,5,4,2148.61
textile,180.7,4.5,50,2,4,5,4,716.38
jewelry,378.21,1.5,50,5,5,2,2,1002.43
wood,388.15,8.0,50,4,2,1,5,1277.39
wood,574.37,16.8,50,5,5,1,4,2306.57
wood,399.62,29.5,50,3,1,3,1,2683.6
wood,474.33,22.3,50,3,2,1,3,2356.22
pottery,506.71,20.9,50,4,2,2,1,2206.1
jewelry,70.34,6.8,50,2,1,3,3,854.85
basket,310.37,2.1,50,2,3,3,1,606.59
textile,200.27,24.2,50,4,4,4,4,2536.44
pottery,322.91,15.4,50,5,3,1,4,1450.31
basket,597.3,6.2,50,3,3,1,1,1265.13
textile,218.57,18.5,50,4,2,4,3,2060.84
textile,388.17,13.6,50,1,1,4,3,1871.62
pottery,574.03,5.1,50,5,4,1,2,1089.58
textile,249.18,28.5,50,1,5,2,4,3219.21
textile,294.17,3.2,50,2,5,3,4,817.48
textile,187.29,4.3,50,2,4,5,4,814.68
wood,193.98,8.5,50,4,2,5,3,993.37
jewelry,160.1,4.9,50,1,4,2,4,935.14
textile,417.31,21.6,50,5,5,3,3,2920.61
pottery,486.53,15.8,50,1,2,2,2,1781.22
wood,248.49,17.6,50,4,5,2,5,1865.8
wood,220.11,30.0,50,4,5,4,4,2797.79
wood,118.93,10.2,50,1,4,4,5,939.43
basket,401.89,6.3,50,2,4,5,1,1127.09
basket,134.16,5.8,50,3,2,3,5,692.39
wood,187.83,19.4,50,5,3,2,3,1794.0
wood,326.42,5.9,50,5,2,2,5,1006.45
basket,235.69,27.8,50,1,1,1,1,2474.21
basket,195.56,7.1,50,5,4,5,1,880.56
basket,209.32,28.7,50,4,2,4,3,2468.0
wood,136.94,13.1,50,4,2,3,5,1153.19
textile,453.81,26.0,50,4,2,3,5,3223.34
textile,182.96,4.6,50,4,2,2,1,652.76
jewelry,525.29,13.1,50,2,3,5,3,2477.28
pottery,324.05,15.9,50,4,3,4,1,1468.58
jewelry,327.99,29.0,50,2,5,3,1,3611.72
jewelry,378.64,25.4,50,4,3,5,1,3849.59
jewelry,123.66,8.7,50,3,4,3,1,1194.74
basket,359.0,11.5,50,3,1,4,5,1404.75
basket,203.85,29.7,50,5,1,2,1,2455.87
textile,356.81,11.6,50,2,2,5,5,1684.26
wood,74.92,5.0,50,3,4,5,4,516.63
basket,126.88,28.0,50,3,2,4,5,2409.17
textile,376.55,15.7,50,5,5,4,5,2135.13
wood,252.6,20.5,50,4,5,3,1,1966.42
textile,581.89,23.7,50,5,5,2,1,3248.24
pottery,338.33,21.9,50,4,2,2,1,1989.5
wood,154.93,13.8,50,4,2,4,2,1254.15
basket,556.29,26.3,50,1,2,5,2,2793.89
jewelry,339.01,10.1,50,2,4,5,3,1895.75
textile,385.54,6.6,50,2,3,5,3,1240.83
textile,474.15,21.4,50,4,3,4,3,2841.71
textile,208.28,17.6,50,5,4,4,3,2176.48
pottery,209.75,9.3,50,1,3,4,3,956.04
pottery,161.14,16.6,50,5,3,2,1,1408.19
basket,181.61,2.5,50,5,2,2,1,411.77
textile,444.55,3.9,50,2,1,5,2,1099.56
jewelry,312.6,6.8,50,3,3,3,1,1497.47
wood,408.76,7.7,50,1,2,4,2,1214.48
wood,598.44,12.5,50,4,2,3,1,1668.03
basket,381.53,27.9,50,3,3,4,5,2720.34
pottery,518.08,14.6,50,2,1,3,2,1744.52
textile,445.23,1.4,50,3,3,5,2,893.48
jewelry,504.84,15.9,50,1,4,1,2,3004.65
jewelry,227.98,8.2,50,3,4,2,4,1476.15
textile,216.07,22.0,50,1,3,3,2,2151.81
wood,305.97,5.6,50,5,3,1,3,870.12
pottery,170.52,4.9,50,2,4,5,3,598.56
basket,552.04,23.0,50,2,2,5,1,2528.34
basket,437.07,3.3,50,5,1,1,5,971.97
pottery,364.99,5.3,50,3,5,4,1,922.86
basket,318.86,27.1,50,4,1,4,2,2506.09
jewelry,360.15,17.2,50,3,1,4,3,2804.48
pottery,368.07,2.3,50,3,1,5,1,691.24
wood,592.38,14.7,50,3,4,2,2,2060.12
jewelry,255.95,26.8,50,4,4,4,1,3634.33
basket,123.14,25.9,50,1,2,5,4,2126.98
pottery,509.15,22.9,50,3,4,5,4,2387.95
pottery,186.13,11.0,50,3,2,1,1,1002.9
jewelry,388.21,28.2,50,1,2,2,1,3609.83
wood,295.54,20.5,50,1,2,1,4,1892.15
basket,169.5,26.0,50,1,2,5,3,2086.56
basket,225.4,18.3,50,3,2,3,2,1811.2
basket,171.57,9.7,50,1,5,5,2,1009.81
jewelry,355.72,2.4,50,3,4,5,3,1125.87
jewelry,132.07,11.9,50,5,4,2,2,1572.76
pottery,493.18,27.5,50,5,4,4,5,2728.48
jewelry,183.57,6.9,50,1,4,3,1,1114.17
pottery,78.35,11.9,50,5,5,1,1,905.16
basket,448.37,17.2,50,4,2,3,3,2111.43
wood,166.49,6.5,50,1,4,2,5,750.95
jewelry,553.32,17.0,50,3,4,4,5,3222.2
textile,193.86,15.9,50,4,4,1,4,1875.29
textile,552.88,11.8,50,4,1,5,2,2141.79
wood,193.43,28.1,50,5,4,3,2,2319.15
pottery,258.91,25.2,50,4,5,3,3,2268.19
jewelry,581.58,19.6,50,4,4,2,3,3272.62
basket,318.57,27.6,50,5,1,5,1,2696.62
wood,569.85,20.4,50,1,4,2,2,2168.73
pottery,55.03,15.7,50,3,1,5,5,1285.69
jewelry,58.65,16.4,50,4,1,1,5,1991.4
basket,587.61,1.5,50,4,2,1,1,942.58
pottery,155.56,16.3,50,3,3,4,1,1316.49
jewelry,302.45,8.1,50,2,3,1,1,1380.37
jewelry,257.44,14.8,50,1,2,1,4,2241.75
textile,361.22,25.9,50,1,5,1,2,2791.08
basket,311.53,2.4,50,1,3,5,5,684.18
pottery,560.82,10.1,50,2,5,2,4,1605.23
textile,139.35,8.0,50,4,5,3,4,1078.19
pottery,484.77,21.0,50,1,5,3,1,1972.94
pottery,511.27,10.9,50,5,5,4,3,1446.09
textile,480.95,14.1,50,2,3,5,4,2136.16
basket,413.37,3.5,50,5,3,2,1,818.87
pottery,259.0,23.7,50,2,4,3,3,1889.65
wood,568.63,13.9,50,3,1,2,1,1729.39
jewelry,356.34,15.9,50,1,1,1,3,2454.05
basket,378.92,10.4,50,4,1,3,4,1329.08
wood,448.66,17.2,50,2,5,5,2,2046.94
pottery,126.36,9.7,50,4,2,1,2,807.38
jewelry,214.86,23.7,50,3,3,2,4,3125.92
pottery,301.82,4.9,50,1,4,3,5,755.74
textile,292.12,13.5,50,5,2,3,3,1794.98
pottery,313.46,6.2,50,4,3,3,4,975.79
pottery,229.24,9.1,50,4,3,1,5,930.96
basket,148.96,23.3,50,1,4,2,4,2038.62
wood,500.43,24.1,50,4,4,2,3,2471.73
pottery,443.38,23.9,50,1,4,5,4,2344.18
basket,328.64,27.7,50,4,5,1,3,2674.03
basket,376.6,27.5,50,1,2,3,2,2617.55
wood,359.77,19.7,50,4,3,4,1,1863.8
textile,172.1,22.7,50,5,5,5,2,2416.63
jewelry,304.68,20.7,50,5,2,3,1,2934.19
textile,278.79,28.9,50,1,2,3,3,2971.29
pottery,336.61,11.1,50,1,4,4,3,1152.5
wood,495.6,4.3,50,3,1,2,2,1008.47
basket,138.07,17.2,50,4,2,4,2,1426.73
jewelry,267.57,22.4,50,2,4,5,4,3037.65
pottery,163.18,22.8,50,1,5,1,5,1723.57
textile,158.39,4.3,50,4,5,3,5,738.7
jewelry,372.85,11.1,50,4,5,2,3,2215.36
basket,96.61,4.9,50,1,2,3,1,405.74
pottery,330.95,13.1,50,2,5,4,4,1348.92
basket,431.39,19.7,50,2,5,2,4,2062.46
pottery,223.02,14.1,50,1,3,1,4,1171.87
jewelry,580.11,15.7,50,4,4,4,4,3171.4
jewelry,318.78,3.4,50,1,2,3,1,954.64
basket,208.77,23.6,50,5,4,5,5,2062.12
wood,197.34,16.8,50,3,5,1,4,1582.66
jewelry,106.33,25.1,50,2,3,1,4,2847.6
wood,291.49,29.8,50,2,2,5,3,2821.32
basket,398.02,5.8,50,2,2,2,1,962.7
basket,204.6,16.6,50,3,3,3,5,1523.01
basket,592.02,20.7,50,1,2,4,1,2557.32
pottery,435.78,4.8,50,2,3,2,4,924.53
basket,397.82,19.2,50,4,4,1,1,1980.46
textile,432.09,26.4,50,4,4,3,5,2962.53
wood,452.01,14.3,50,3,1,5,4,1685.81
jewelry,503.67,15.3,50,3,3,3,5,2856.25
basket,518.83,23.9,50,1,1,1,4,2293.36
pottery,292.71,1.0,50,4,2,2,3,444.16
textile,101.34,11.5,50,1,3,2,1,1113.63
textile,449.29,22.9,50,4,1,1,1,2671.35
wood,122.98,7.6,50,4,1,1,3,750.72
jewelry,431.72,14.9,50,2,4,1,1,2363.55
textile,534.54,5.0,50,2,2,1,5,1391.12
basket,407.51,13.8,50,2,2,4,5,1705.71
pottery,97.68,3.9,50,1,5,4,3,445.49
textile,485.09,8.2,50,1,2,5,5,1642.02
basket,206.71,28.3,50,1,3,2,5,2448.75
pottery,461.31,9.6,50,1,2,4,4,1212.73
jewelry,400.95,3.1,50,1,3,3,2,1146.94
basket,281.47,16.8,50,2,4,1,1,1639.81
wood,194.2,2.2,50,1,4,5,3,470.79
basket,471.91,13.3,50,4,1,5,5,1787.96
textile,95.98,3.3,50,2,2,5,3,456.64
wood,220.59,13.7,50,2,1,2,1,1349.22
wood,299.35,18.7,50,3,2,1,1,1835.62
wood,140.11,28.6,50,5,5,3,2,2360.75
textile,453.11,4.4,50,1,3,4,3,1191.13
textile,441.78,17.7,50,1,4,4,5,2354.31
jewelry,522.65,5.8,50,2,3,1,5,1817.08
wood,175.62,15.8,50,1,1,2,1,1327.41
jewelry,556.12,6.2,50,1,5,4,2,1841.42
jewelry,553.72,10.3,50,1,5,3,1,2311.94
wood,148.64,24.3,50,1,4,1,4,2122.91
textile,230.02,17.0,50,1,3,2,3,1908.32
textile,456.77,8.0,50,3,5,4,2,1630.66
basket,468.27,8.1,50,1,4,1,2,1248.15
wood,573.04,1.0,50,4,3,1,2,913.9
pottery,280.9,28.9,50,2,3,1,1,2493.73
basket,277.18,27.0,50,4,1,5,1,2432.88
jewelry,91.16,17.5,50,4,2,2,3,2034.65
textile,559.32,12.4,50,3,3,4,3,2046.66
pottery,124.86,23.3,50,1,2,1,2,1692.04
textile,273.58,16.5,50,2,4,3,4,1912.72
wood,99.73,24.4,50,3,5,1,2,2070.19
textile,131.58,21.6,50,3,4,5,1,2258.09
textile,501.05,6.0,50,4,4,5,5,1475.38
jewelry,106.05,24.0,50,1,1,1,2,2595.33
jewelry,254.73,19.3,50,1,5,5,3,2883.96
